placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit,Date:Count_CriminalActivities_CombinedCrime,Value:Count_CriminalActivities_CombinedCrime,Source:Count_CriminalActivities_CombinedCrime,Date:Victim_Count_CriminalIncidents_IsHateCrime,Value:Victim_Count_CriminalIncidents_IsHateCrime,Source:Victim_Count_CriminalIncidents_IsHateCrime,Density_Per_SqMile,Foreign_Born_Percent,Citizenship_Percent
geoId/01,Alabama,2024,63999,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2337265,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,925,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,107428,http://www.fbi.gov/services/cjis/ucr,2023,184,https://www.fbi.gov/services/cjis/ucr/hate-crime,94.65,3.7,98.1
geoId/02,Alaska,2024,92788,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,328491,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1345,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,19096,http://www.fbi.gov/services/cjis/ucr,2023,18,https://www.fbi.gov/services/cjis/ucr/hate-crime,1.19,7.2,98.5
geoId/04,Arizona,2024,79964,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,3192839,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1308,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,163915,http://www.fbi.gov/services/cjis/ucr,2023,230,https://www.fbi.gov/services/cjis/ucr/hate-crime,57.05,13.9,96.8
geoId/05,Arkansas,2024,60773,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1394673,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,868,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,87394,http://www.fbi.gov/services/cjis/ucr,2023,29,https://www.fbi.gov/services/cjis/ucr/hate-crime,56.43,4.5,98.3
geoId/06,California,2024,99122,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,14644735,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1856,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,1104212,http://www.fbi.gov/services/cjis/ucr,2023,2052,https://www.fbi.gov/services/cjis/ucr/hate-crime,251.3,27.0,94.8
geoId/08,Colorado,2024,95470,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2589053,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1594,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,197069,http://www.fbi.gov/services/cjis/ucr,2023,281,https://www.fbi.gov/services/cjis/ucr/hate-crime,48.51,10.6,97.2
geoId/09,Connecticut,2024,95781,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1541822,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1374,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,61805,http://www.fbi.gov/services/cjis/ucr,2023,105,https://www.fbi.gov/services/cjis/ucr/hate-crime,738.1,15.4,97.0
geoId/10,Delaware,2024,84954,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,464203,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1286,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,23328,http://www.fbi.gov/services/cjis/ucr,2023,20,https://www.fbi.gov/services/cjis/ucr/hate-crime,460.8,10.0,97.3
geoId/11,District of Columbia,2024,109870,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,361014,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1817,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,37060,http://www.fbi.gov/services/cjis/ucr,2023,188,https://www.fbi.gov/services/cjis/ucr/hate-crime,11294.5,14.0,95.1
geoId/12,Florida,2024,74568,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,10256470,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1444,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,408486,http://www.fbi.gov/services/cjis/ucr,2023,230,https://www.fbi.gov/services/cjis/ucr/hate-crime,398.3,20.3,95.8
geoId/13,Georgia,2024,77353,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,4541835,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1221,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,239896,http://www.fbi.gov/services/cjis/ucr,2023,140,https://www.fbi.gov/services/cjis/ucr/hate-crime,168.4,10.8,97.5
geoId/15,Hawaii,2024,100389,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,567896,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1868,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,26647,http://www.fbi.gov/services/cjis/ucr,2023,25,https://www.fbi.gov/services/cjis/ucr/hate-crime,150.6,17.3,96.2
geoId/16,Idaho,2024,77800,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,795014,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1061,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,20502,http://www.fbi.gov/services/cjis/ucr,2023,51,https://www.fbi.gov/services/cjis/ucr/hate-crime,19.15,7.1,97.8
geoId/17,Illinois,2024,83390,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,5457452,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1179,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,254782,http://www.fbi.gov/services/cjis/ucr,2023,342,https://www.fbi.gov/services/cjis/ucr/hate-crime,231.1,14.9,96.1
geoId/18,Indiana,2024,71957,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2976568,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,967,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,128699,http://www.fbi.gov/services/cjis/ucr,2023,183,https://www.fbi.gov/services/cjis/ucr/hate-crime,180.6,5.6,97.9
geoId/19,Iowa,2024,75059,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1437699,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,914,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,55180,http://www.fbi.gov/services/cjis/ucr,2023,67,https://www.fbi.gov/services/cjis/ucr/hate-crime,54.81,4.9,98.1
geoId/20,Kansas,2024,74275,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1293635,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,986,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,74206,http://www.fbi.gov/services/cjis/ucr,2023,132,https://www.fbi.gov/services/cjis/ucr/hate-crime,35.09,7.5,97.8
geoId/21,Kentucky,2024,63726,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2023116,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,902,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,80400,http://www.fbi.gov/services/cjis/ucr,2023,153,https://www.fbi.gov/services/cjis/ucr/hate-crime,109.9,3.9,98.4
geoId/22,Louisiana,2024,60756,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2108902,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,996,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,145363,http://www.fbi.gov/services/cjis/ucr,2023,59,https://www.fbi.gov/services/cjis/ucr/hate-crime,104.9,4.3,97.9
geoId/23,Maine,2024,74733,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,751876,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1009,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,17070,http://www.fbi.gov/services/cjis/ucr,2023,54,https://www.fbi.gov/services/cjis/ucr/hate-crime,41.3,5.2,97.6
geoId/24,Maryland,2024,103678,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2560784,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1598,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,154339,http://www.fbi.gov/services/cjis/ucr,2023,255,https://www.fbi.gov/services/cjis/ucr/hate-crime,596.3,15.9,96.2
geoId/25,Massachusetts,2024,103960,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,3030406,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1588,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,99065,http://www.fbi.gov/services/cjis/ucr,2023,574,https://www.fbi.gov/services/cjis/ucr/hate-crime,839.4,16.2,96.8
geoId/26,Michigan,2024,72875,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,4622236,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1037,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,201122,http://www.fbi.gov/services/cjis/ucr,2023,383,https://www.fbi.gov/services/cjis/ucr/hate-crime,174.8,7.6,97.1
geoId/27,Minnesota,2024,89062,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2545030,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1178,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,112666,http://www.fbi.gov/services/cjis/ucr,2023,193,https://www.fbi.gov/services/cjis/ucr/hate-crime,67.14,8.8,97.3
geoId/28,Mississippi,2024,56447,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1341114,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,896,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,52618,http://www.fbi.gov/services/cjis/ucr,2023,17,https://www.fbi.gov/services/cjis/ucr/hate-crime,63.2,2.9,98.5
geoId/29,Missouri,2024,70702,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,2825287,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,957,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,158243,http://www.fbi.gov/services/cjis/ucr,2023,196,https://www.fbi.gov/services/cjis/ucr/hate-crime,87.26,4.8,98.1
geoId/30,Montana,2024,72509,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,528419,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,974,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,25779,http://www.fbi.gov/services/cjis/ucr,2023,11,https://www.fbi.gov/services/cjis/ucr/hate-crime,7.0,3.3,98.3
geoId/31,Nebraska,2024,76475,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,863444,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,987,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,43639,http://www.fbi.gov/services/cjis/ucr,2023,58,https://www.fbi.gov/services/cjis/ucr/hate-crime,23.97,8.6,97.4
geoId/32,Nevada,2024,78260,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1326471,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1382,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,93709,http://www.fbi.gov/services/cjis/ucr,2023,109,https://www.fbi.gov/services/cjis/ucr/hate-crime,27.0,21.0,96.1
geoId/33,New Hampshire,2024,99031,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,648472,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1336,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,13966,http://www.fbi.gov/services/cjis/ucr,2023,37,https://www.fbi.gov/services/cjis/ucr/hate-crime,147.0,9.8,97.2
geoId/34,New Jersey,2024,103556,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,3791354,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1577,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,161934,http://www.fbi.gov/services/cjis/ucr,2023,1167,https://www.fbi.gov/services/cjis/ucr/hate-crime,1195.5,21.7,95.2
geoId/35,New Mexico,2024,64059,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,956964,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,966,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,76896,http://www.fbi.gov/services/cjis/ucr,2023,42,https://www.fbi.gov/services/cjis/ucr/hate-crime,17.16,10.3,96.8
geoId/36,New York,2024,85974,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,8585241,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1507,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,428313,http://www.fbi.gov/services/cjis/ucr,2023,919,https://www.fbi.gov/services/cjis/ucr/hate-crime,412.2,23.5,94.3
geoId/37,North Carolina,2024,72388,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,4895668,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1093,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,266145,http://www.fbi.gov/services/cjis/ucr,2023,282,https://www.fbi.gov/services/cjis/ucr/hate-crime,196.1,9.0,97.6
geoId/38,North Dakota,2024,76657,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,377281,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,912,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,17313,http://www.fbi.gov/services/cjis/ucr,2023,22,https://www.fbi.gov/services/cjis/ucr/hate-crime,10.84,4.2,98.2
geoId/39,Ohio,2024,71389,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,5292391,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,945,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,233246,http://www.fbi.gov/services/cjis/ucr,2023,459,https://www.fbi.gov/services/cjis/ucr/hate-crime,282.5,5.0,97.8
geoId/40,Oklahoma,2024,65039,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1775127,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,934,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,103867,http://www.fbi.gov/services/cjis/ucr,2023,82,https://www.fbi.gov/services/cjis/ucr/hate-crime,56.9,5.4,97.9
geoId/41,Oregon,2024,83011,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,1857992,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1373,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,123485,http://www.fbi.gov/services/cjis/ucr,2023,300,https://www.fbi.gov/services/cjis/ucr/hate-crime,42.6,10.8,96.9
geoId/42,Pennsylvania,2024,77971,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,5806452,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1110,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,239204,http://www.fbi.gov/services/cjis/ucr,2023,272,https://www.fbi.gov/services/cjis/ucr/hate-crime,283.9,7.7,97.1
geoId/44,Rhode Island,2024,87796,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2024,485932,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1195,https://data.census.gov/table/ACSDT5Y2022.B25031,2023,14124,http://www.fbi.gov/services/cjis/ucr,2023,28,https://www.fbi.gov/services/cjis/ucr/hate-crime,1253.6,14.6,96.3
