State,Median_Income,Population_Density_Per_Sq_Mile,Foreign_Born_Percent,US_Citizenship_Percent,Housing_Units,Median_Rent,Crime_Rate,Hate_Crimes
Alabama,63999,94.65,3.7,98.1,2337265,925,107428,184
Alaska,92788,1.19,7.2,98.5,328491,1345,19096,18
Arizona,79964,57.05,13.9,96.8,3192839,1308,163915,230
Arkansas,60773,56.43,4.5,98.3,1394673,868,87394,29
California,99122,251.3,27.0,94.8,14644735,1856,1104212,2052
Colorado,95470,48.51,10.6,97.2,2589053,1594,197069,281
Connecticut,95781,738.1,15.4,97.0,1541822,1374,61805,105
Delaware,84954,460.8,10.0,97.3,464203,1286,23328,20
District of Columbia,109870,11294.5,14.0,95.1,361014,1817,37060,188
Florida,74568,398.3,20.3,95.8,10256470,1444,408486,230
Georgia,77353,168.4,10.8,97.5,4541835,1221,239896,140
Hawaii,100389,150.6,17.3,96.2,567896,1868,26647,25
Idaho,77800,19.15,7.1,97.8,795014,1061,20502,51
Illinois,83390,231.1,14.9,96.1,5457452,1179,254782,342
Indiana,71957,180.6,5.6,97.9,2976568,967,128699,183
Iowa,75059,54.81,4.9,98.1,1437699,914,55180,67
Kansas,74275,35.09,7.5,97.8,1293635,986,74206,132
Kentucky,63726,109.9,3.9,98.4,2023116,902,80400,153
Louisiana,60756,104.9,4.3,97.9,2108902,996,145363,59
Maine,74733,41.3,5.2,97.6,751876,1009,17070,54
Maryland,103678,596.3,15.9,96.2,2560784,1598,154339,255
Massachusetts,103960,839.4,16.2,96.8,3030406,1588,99065,574
Michigan,72875,174.8,7.6,97.1,4622236,1037,201122,383
Minnesota,89062,67.14,8.8,97.3,2545030,1178,112666,193
Mississippi,56447,63.2,2.9,98.5,1341114,896,52618,17
Missouri,70702,87.26,4.8,98.1,2825287,957,158243,196
Montana,72509,7.0,3.3,98.3,528419,974,25779,11
Nebraska,76475,23.97,8.6,97.4,863444,987,43639,58
Nevada,78260,27.0,21.0,96.1,1326471,1382,93709,109
New Hampshire,99031,147.0,9.8,97.2,648472,1336,13966,37
New Jersey,103556,1195.5,21.7,95.2,3791354,1577,161934,1167
New Mexico,64059,17.16,10.3,96.8,956964,966,76896,42
New York,85974,412.2,23.5,94.3,8585241,1507,428313,919
North Carolina,72388,196.1,9.0,97.6,4895668,1093,266145,282
North Dakota,76657,10.84,4.2,98.2,377281,912,17313,22
Ohio,71389,282.5,5.0,97.8,5292391,945,233246,459
Oklahoma,65039,56.9,5.4,97.9,1775127,934,103867,82
Oregon,83011,42.6,10.8,96.9,1857992,1373,123485,300
Pennsylvania,77971,283.9,7.7,97.1,5806452,1110,239204,272
Rhode Island,87796,1253.6,14.6,96.3,485932,1195,14124,28
South Carolina,69324,157.1,5.0,97.9,2443039,1065,143158,115
South Dakota,75081,11.5,3.8,98.0,408584,878,18093,11
Tennessee,69595,156.6,5.6,97.8,3143670,1047,213083,100
Texas,78476,108.2,17.6,95.4,12128515,1251,806610,512
Utah,95166,35.7,8.9,97.3,1223468,1302,63692,190
Vermont,81203,67.73,6.5,97.5,339042,1149,12977,62
Virginia,93170,202.6,12.7,96.8,3684756,1440,165155,275
Washington,98141,102.6,13.9,96.4,3306620,1592,253444,601
West Virginia,59608,77.06,1.6,98.7,861325,831,25852,67
Wisconsin,77485,105.2,5.9,97.6,2778572,992,88986,142
Wyoming,76176,5.84,3.9,98.1,277141,933,9701,20
Puerto Rico,26297,0.0,0.0,0.0,1634357,545,19594,
